Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft_mm,Age_cal_yr_bp
860.7638607,93.51524643,19.79448737,0.322341697,9.871804529,3.976132476,0.333795422,0.0035855,63705
813.2288403,100.9933872,15.9301052,0.146535319,7.768687701,3.702300335,0.642767819,0.016498923,63705
746.5350842,74.03665828,19.42890854,0.0466928,0.05,0.84390667,0.326210076,0.037008429,63706
721.5245066,57.57944462,24.4472941,0.059813409,5.080777329,0.178085398,0.046641593,0.057518,63707
714.4396091,67.0949952,25.8402404,0.087159166,3.918555981,0.826427104,0.025,0.078027429,63708
678.5453926,75.44895004,28.1026912,0.083719361,2.019290636,0.703731273,0.043310383,0.098536923,63710
632.4371725,68.75868685,35.8254599,0.070309162,3.266876647,1.046847797,0.73767773,0.119046429,63711
578.961344,51.52044116,33.43125443,0.032156632,3.108406419,1.315767981,1.208273219,0.139556,63712
566.2134447,42.00004318,32.26955821,0.060103438,4.206458443,1.641814302,1.189447411,0.159305846,63712
642.3095783,55.90241919,30.08021516,0.080328791,6.196149942,1.507520114,0.605831587,0.179815286,63713
750.1142668,69.97896677,25.4208428,0.089004354,5.874465944,1.176276748,0.040864555,0.200324923,63714
816.4569811,81.4031285,28.54595069,0.082751226,5.244877506,0.848861668,0.246484409,0.220834429,63716
784.0965107,83.74560633,20.80968686,0.044570927,3.017054324,0.26563473,0.07159884,0.241344,63717
723.2351416,85.09575766,19.48986713,0.060433235,3.211618886,0.248696514,0.097233679,0.261853429,63718
760.0317052,86.37364546,23.02166983,0.088691516,4.552631586,0.522402871,0.110379,0.282362923,63719
884.7404245,89.18434883,27.6946727,0.135867677,5.301895558,0.813017619,0.123620263,0.302112769,63719
982.401755,71.81591271,28.05415993,0.153496816,5.747767768,0.948901673,0.136930037,0.322622429,63720
1008.272922,91.71795221,23.76613802,0.198873039,4.821136383,0.903553306,0.138452675,0.343131846,63722
1007.075608,127.1491861,23.1250543,0.28908439,5.264099606,0.793701123,0.090607526,0.362881692,63722
1049.852745,149.0751086,29.20296283,0.402915922,7.103114067,0.786940866,0.159175906,0.383391143,63723
1122.085873,143.8604668,31.60837508,0.456931044,7.840588897,0.819880518,0.537679495,0.403900769,63724
1215.911762,123.8602177,34.46369327,0.429100017,7.561317526,0.725531898,0.716600272,0.424410286,63726
1289.364529,121.2736426,34.5983813,0.354718918,6.867450124,0.496771304,0.590119107,0.444919692,63727
1260.719346,114.6625998,28.49900486,0.270749811,6.304923737,0.435227574,0.211532103,0.464669539,63727
1142.702064,112.8648865,21.64535995,0.199041587,5.48095826,0.400804353,0.025,0.485179143,63729
1022.942577,117.0596011,27.12366802,0.158852349,5.0773077,0.557158195,0.17364113,0.505688616,63730
957.8463498,133.7125977,37.92262686,0.218335087,5.117831112,0.381673307,0.025,0.525438462,63730
952.9460863,140.6230833,40.03133415,0.273757181,6.168318418,0.575508461,0.114208769,0.545948,63731
993.2112563,134.2284261,32.79128227,0.260950504,7.660258075,1.074154427,0.791694902,0.566457539,63733
1016.542433,116.5386114,22.18585318,0.142827443,6.830535037,1.250001655,1.053745494,0.586207385,63733
1047.181405,99.42056168,23.0224431,0.083145951,4.478502089,0.918406565,0.786245184,0.606716857,63734
1059.40763,104.5865904,13.47174508,0.10510936,1.626941094,0.04,0.217659287,0.627226462,63736
1044.838855,116.4688568,25.63188774,0.138767277,2.046675284,0.269530889,0.081496393,0.646976308,63736
1016.090468,122.3937941,39.60906897,0.157247768,4.356409923,1.102092861,0.234601552,0.667485714,63738
1012.942905,118.1197872,41.90923932,0.146720473,4.150724853,1.438151235,0.080449772,0.687995385,63739
1098.060938,100.7789167,32.99153296,0.118781771,3.010806466,1.406436848,0.165572839,0.707745231,63739
1211.938551,81.05121795,20.57258716,0.066302745,1.543322725,0.682271704,0.130321987,0.728254857,63741
1376.801109,59.41903585,21.95726178,0.035808308,2.277587172,1.066917916,0.27992647,0.748764308,63742
1565.597878,44.07294755,23.02083132,0.026546004,3.362646882,0.599608175,0.173370347,0.768514154,63743
1703.369839,37.58966561,38.93825287,0.022256689,4.590901429,2.08324327,0.744171691,0.788264,63743
1695.079881,33.53522042,51.10260134,0.014612884,4.406958556,3.433784403,1.203543931,0.808773572,63744
1664.184179,25.47199629,19.41386443,0.028388489,3.556304858,3.071490544,1.127946652,0.829283077,63746
1790.690215,16.86805362,40.142705,0.041682629,2.370630835,1.357952008,0.436130386,0.849032923,63746
1960.837336,8.830207622,45.75675802,0.049228654,1.90049686,0.054384427,0.450149892,0.869542429,63748
2070.639799,9.254885571,19.41386443,0.044283223,2.434367853,1.571118834,1.179645064,0.890052,63749
1988.550543,17.04568566,19.41386443,0.029233918,2.833742863,1.80954174,1.227091267,0.909801846,63750
1697.263457,26.71925414,19.41386443,0.019533358,2.819174344,1.425039173,0.788620377,0.929551692,63750
1384.353339,39.83503577,42.11740227,0.01442362,2.014373422,0.497638804,0.144645448,0.950061143,63752
1156.940368,51.14080442,15.35333042,0.022396871,1.909333537,0.217522425,0.214868877,0.970570769,63753
1001.568042,66.08590925,19.43904152,0.061171877,2.708996809,0.153190669,0.138528107,0.990320616,63754
872.4798686,87.55478429,16.37260822,0.100165619,2.930708819,0.04,0.025,1.010070462,63754
816.0799302,107.6823051,18.61265347,0.100727014,2.640165537,2.328045698,1.213162042,1.03058,63756
913.8800793,117.4486824,24.67359346,0.079697862,3.709400752,4.813253449,2.102726341,1.051089539,63757
1190.180449,102.4176541,27.86134176,0.059072556,4.625574854,4.581750331,2.020912357,1.070839385,63758
1391.365084,80.1439885,27.38071911,0.045232818,4.383139387,1.981995319,1.065636783,1.090589231,63758
